,date,country,cases
0,2020-01-19,AT111,
1,2020-01-26,AT111,
2,2020-02-02,AT111,
3,2020-02-09,AT111,
4,2020-02-16,AT111,
5,2020-02-23,AT111,
6,2020-03-01,AT111,0.0
7,2020-03-08,AT111,0.0
8,2020-03-15,AT111,0.0
9,2020-03-22,AT111,5.0
10,2020-03-29,AT111,10.0
11,2020-04-05,AT111,3.0
12,2020-04-12,AT111,4.0
13,2020-04-19,AT111,3.0
14,2020-04-26,AT111,0.0
15,2020-05-03,AT111,1.0
16,2020-05-10,AT111,0.0
17,2020-05-17,AT111,0.0
18,2020-05-24,AT111,0.0
19,2020-05-31,AT111,0.0
20,2020-06-07,AT111,0.0
21,2020-06-14,AT111,0.0
22,2020-06-21,AT111,1.0
23,2020-06-28,AT111,1.0
24,2020-07-05,AT111,1.0
25,2020-07-12,AT111,0.0
26,2020-07-19,AT111,0.0
27,2020-07-26,AT111,0.0
28,2020-08-02,AT111,2.0
29,2020-08-09,AT111,1.0
30,2020-08-16,AT111,1.0
31,2020-08-23,AT111,3.0
32,2020-08-30,AT111,1.0
33,2020-09-06,AT111,2.0
34,2020-09-13,AT111,3.0
35,2020-09-20,AT111,7.0
36,2020-09-27,AT111,10.0
37,2020-10-04,AT111,18.0
38,2020-10-11,AT111,24.0
39,2020-10-18,AT111,28.0
40,2020-10-25,AT111,80.0
41,2020-11-01,AT111,139.0
42,2020-11-08,AT111,284.0
43,2020-11-15,AT111,203.0
44,2020-11-22,AT111,177.0
45,2020-11-29,AT111,120.0
46,2020-12-06,AT111,78.0
47,2020-12-13,AT111,52.0
48,2020-12-20,AT111,41.0
49,2020-12-27,AT111,21.0
50,2021-01-03,AT111,60.0
51,2021-01-10,AT111,50.0
52,2021-01-17,AT111,33.0
53,2021-01-24,AT111,44.0
54,2021-01-31,AT111,21.0
55,2021-02-07,AT111,26.0
56,2021-02-14,AT111,23.0
57,2021-02-21,AT111,35.0
58,2021-02-28,AT111,34.0
59,2021-03-07,AT111,67.0
60,2021-03-14,AT111,89.0
61,2021-03-21,AT111,79.0
62,2021-03-28,AT111,105.0
63,2021-04-04,AT111,81.0
64,2021-04-11,AT111,60.0
65,2021-04-18,AT111,33.0
66,2021-04-25,AT111,29.0
67,2021-05-02,AT111,20.0
68,2021-05-09,AT111,14.0
69,2021-05-16,AT111,6.0
70,2021-05-23,AT111,5.0
71,2021-05-30,AT111,3.0
72,2021-06-06,AT111,6.0
73,2021-06-13,AT111,5.0
74,2021-06-20,AT111,6.0
75,2021-06-27,AT111,1.0
76,2021-07-04,AT111,2.0
77,2021-07-11,AT111,2.0
78,2021-07-18,AT111,0.0
79,2021-07-25,AT111,1.0
80,2021-08-01,AT111,4.0
81,2021-08-08,AT111,6.0
82,2021-08-15,AT111,15.0
83,2021-08-22,AT111,17.0
84,2021-08-29,AT111,39.0
85,2021-09-05,AT111,66.0
86,2021-09-12,AT111,45.0
87,2021-09-19,AT111,40.0
88,2021-09-26,AT111,19.0
89,2021-10-03,AT111,10.0
90,2021-10-10,AT111,27.0
91,2021-10-17,AT111,23.0
92,2021-10-24,AT111,56.0
93,2021-10-31,AT111,87.0
94,2021-11-07,AT111,204.0
95,2021-11-14,AT111,297.0
96,2021-11-21,AT111,280.0
97,2021-11-28,AT111,271.0
98,2021-12-05,AT111,146.0
99,2021-12-12,AT111,64.0
100,2021-12-19,AT111,31.0
101,2021-12-26,AT111,32.0
102,2022-01-02,AT111,65.0
103,2022-01-09,AT111,67.0
104,2022-01-16,AT111,
105,2022-01-23,AT111,
106,2022-01-30,AT111,
107,2020-01-19,AT112,
108,2020-01-26,AT112,
109,2020-02-02,AT112,
110,2020-02-09,AT112,
111,2020-02-16,AT112,
112,2020-02-23,AT112,
113,2020-03-01,AT112,0.0
114,2020-03-08,AT112,4.0
115,2020-03-15,AT112,5.0
116,2020-03-22,AT112,27.0
117,2020-03-29,AT112,51.0
118,2020-04-05,AT112,27.0
119,2020-04-12,AT112,10.0
120,2020-04-19,AT112,9.0
121,2020-04-26,AT112,5.0
122,2020-05-03,AT112,3.0
123,2020-05-10,AT112,2.0
124,2020-05-17,AT112,3.0
125,2020-05-24,AT112,2.0
126,2020-05-31,AT112,0.0
127,2020-06-07,AT112,0.0
128,2020-06-14,AT112,0.0
129,2020-06-21,AT112,3.0
130,2020-06-28,AT112,3.0
131,2020-07-05,AT112,5.0
132,2020-07-12,AT112,3.0
133,2020-07-19,AT112,15.0
134,2020-07-26,AT112,16.0
135,2020-08-02,AT112,13.0
136,2020-08-09,AT112,6.0
137,2020-08-16,AT112,6.0
138,2020-08-23,AT112,14.0
139,2020-08-30,AT112,29.0
140,2020-09-06,AT112,40.0
141,2020-09-13,AT112,37.0
142,2020-09-20,AT112,52.0
143,2020-09-27,AT112,55.0
144,2020-10-04,AT112,73.0
145,2020-10-11,AT112,107.0
146,2020-10-18,AT112,136.0
147,2020-10-25,AT112,221.0
148,2020-11-01,AT112,512.0
149,2020-11-08,AT112,578.0
150,2020-11-15,AT112,598.0
151,2020-11-22,AT112,520.0
152,2020-11-29,AT112,403.0
153,2020-12-06,AT112,336.0
154,2020-12-13,AT112,215.0
155,2020-12-20,AT112,155.0
156,2020-12-27,AT112,198.0
157,2021-01-03,AT112,249.0
158,2021-01-10,AT112,222.0
159,2021-01-17,AT112,170.0
160,2021-01-24,AT112,148.0
161,2021-01-31,AT112,113.0
162,2021-02-07,AT112,134.0
163,2021-02-14,AT112,153.0
164,2021-02-21,AT112,222.0
165,2021-02-28,AT112,289.0
166,2021-03-07,AT112,313.0
167,2021-03-14,AT112,411.0
168,2021-03-21,AT112,371.0
169,2021-03-28,AT112,410.0
170,2021-04-04,AT112,308.0
171,2021-04-11,AT112,256.0
172,2021-04-18,AT112,168.0
173,2021-04-25,AT112,198.0
174,2021-05-02,AT112,117.0
175,2021-05-09,AT112,77.0
176,2021-05-16,AT112,67.0
177,2021-05-23,AT112,52.0
178,2021-05-30,AT112,33.0
179,2021-06-06,AT112,19.0
180,2021-06-13,AT112,11.0
181,2021-06-20,AT112,10.0
182,2021-06-27,AT112,13.0
183,2021-07-04,AT112,20.0
184,2021-07-11,AT112,17.0
185,2021-07-18,AT112,13.0
186,2021-07-25,AT112,13.0
187,2021-08-01,AT112,31.0
188,2021-08-08,AT112,24.0
189,2021-08-15,AT112,72.0
190,2021-08-22,AT112,99.0
191,2021-08-29,AT112,115.0
192,2021-09-05,AT112,147.0
193,2021-09-12,AT112,169.0
194,2021-09-19,AT112,187.0
195,2021-09-26,AT112,125.0
196,2021-10-03,AT112,156.0
197,2021-10-10,AT112,160.0
198,2021-10-17,AT112,165.0
199,2021-10-24,AT112,267.0
200,2021-10-31,AT112,457.0
201,2021-11-07,AT112,772.0
202,2021-11-14,AT112,918.0
203,2021-11-21,AT112,1256.0
204,2021-11-28,AT112,943.0
205,2021-12-05,AT112,632.0
206,2021-12-12,AT112,287.0
207,2021-12-19,AT112,216.0
208,2021-12-26,AT112,236.0
209,2022-01-02,AT112,293.0
210,2022-01-09,AT112,345.0
211,2022-01-16,AT112,
212,2022-01-23,AT112,
213,2022-01-30,AT112,
214,2020-01-19,AT113,
215,2020-01-26,AT113,
216,2020-02-02,AT113,
217,2020-02-09,AT113,
218,2020-02-16,AT113,
219,2020-02-23,AT113,
220,2020-03-01,AT113,0.0
221,2020-03-08,AT113,0.0
222,2020-03-15,AT113,3.0
223,2020-03-22,AT113,21.0
224,2020-03-29,AT113,52.0
225,2020-04-05,AT113,27.0
226,2020-04-12,AT113,24.0
227,2020-04-19,AT113,20.0
228,2020-04-26,AT113,9.0
229,2020-05-03,AT113,6.0
230,2020-05-10,AT113,0.0
231,2020-05-17,AT113,1.0
232,2020-05-24,AT113,1.0
233,2020-05-31,AT113,2.0
234,2020-06-07,AT113,0.0
235,2020-06-14,AT113,0.0
236,2020-06-21,AT113,0.0
237,2020-06-28,AT113,3.0
238,2020-07-05,AT113,5.0
239,2020-07-12,AT113,5.0
240,2020-07-19,AT113,2.0
241,2020-07-26,AT113,0.0
242,2020-08-02,AT113,4.0
243,2020-08-09,AT113,1.0
244,2020-08-16,AT113,4.0
245,2020-08-23,AT113,10.0
246,2020-08-30,AT113,6.0
247,2020-09-06,AT113,6.0
248,2020-09-13,AT113,15.0
249,2020-09-20,AT113,19.0
250,2020-09-27,AT113,46.0
251,2020-10-04,AT113,40.0
252,2020-10-11,AT113,60.0
253,2020-10-18,AT113,80.0
254,2020-10-25,AT113,134.0
255,2020-11-01,AT113,429.0
256,2020-11-08,AT113,575.0
257,2020-11-15,AT113,554.0
258,2020-11-22,AT113,372.0
259,2020-11-29,AT113,216.0
260,2020-12-06,AT113,218.0
261,2020-12-13,AT113,154.0
262,2020-12-20,AT113,165.0
263,2020-12-27,AT113,106.0
264,2021-01-03,AT113,117.0
265,2021-01-10,AT113,138.0
266,2021-01-17,AT113,129.0
267,2021-01-24,AT113,116.0
268,2021-01-31,AT113,134.0
269,2021-02-07,AT113,124.0
270,2021-02-14,AT113,148.0
271,2021-02-21,AT113,161.0
272,2021-02-28,AT113,204.0
273,2021-03-07,AT113,257.0
274,2021-03-14,AT113,237.0
275,2021-03-21,AT113,272.0
276,2021-03-28,AT113,345.0
277,2021-04-04,AT113,261.0
278,2021-04-11,AT113,223.0
279,2021-04-18,AT113,163.0
280,2021-04-25,AT113,103.0
281,2021-05-02,AT113,110.0
282,2021-05-09,AT113,61.0
283,2021-05-16,AT113,21.0
284,2021-05-23,AT113,26.0
285,2021-05-30,AT113,28.0
286,2021-06-06,AT113,5.0
287,2021-06-13,AT113,16.0
288,2021-06-20,AT113,18.0
289,2021-06-27,AT113,18.0
290,2021-07-04,AT113,5.0
291,2021-07-11,AT113,5.0
292,2021-07-18,AT113,11.0
293,2021-07-25,AT113,23.0
294,2021-08-01,AT113,27.0
295,2021-08-08,AT113,19.0
296,2021-08-15,AT113,26.0
297,2021-08-22,AT113,43.0
298,2021-08-29,AT113,42.0
299,2021-09-05,AT113,72.0
300,2021-09-12,AT113,70.0
301,2021-09-19,AT113,67.0
302,2021-09-26,AT113,39.0
303,2021-10-03,AT113,75.0
304,2021-10-10,AT113,99.0
305,2021-10-17,AT113,88.0
306,2021-10-24,AT113,152.0
307,2021-10-31,AT113,216.0
308,2021-11-07,AT113,559.0
309,2021-11-14,AT113,586.0
310,2021-11-21,AT113,693.0
311,2021-11-28,AT113,591.0
312,2021-12-05,AT113,395.0
313,2021-12-12,AT113,222.0
314,2021-12-19,AT113,146.0
315,2021-12-26,AT113,114.0
316,2022-01-02,AT113,184.0
317,2022-01-09,AT113,176.0
318,2022-01-16,AT113,
319,2022-01-23,AT113,
320,2022-01-30,AT113,
321,2020-01-19,AT121,
322,2020-01-26,AT121,
323,2020-02-02,AT121,
324,2020-02-09,AT121,
325,2020-02-16,AT121,
326,2020-02-23,AT121,
327,2020-03-01,AT121,0.0
328,2020-03-08,AT121,0.0
329,2020-03-15,AT121,31.0
330,2020-03-22,AT121,87.0
331,2020-03-29,AT121,241.0
332,2020-04-05,AT121,120.0
333,2020-04-12,AT121,78.0
334,2020-04-19,AT121,23.0
335,2020-04-26,AT121,9.0
336,2020-05-03,AT121,3.0
337,2020-05-10,AT121,2.0
338,2020-05-17,AT121,1.0
339,2020-05-24,AT121,2.0
340,2020-05-31,AT121,1.0
341,2020-06-07,AT121,1.0
342,2020-06-14,AT121,1.0
343,2020-06-21,AT121,0.0
344,2020-06-28,AT121,1.0
345,2020-07-05,AT121,3.0
346,2020-07-12,AT121,9.0
347,2020-07-19,AT121,5.0
348,2020-07-26,AT121,19.0
349,2020-08-02,AT121,16.0
350,2020-08-09,AT121,4.0
351,2020-08-16,AT121,8.0
352,2020-08-23,AT121,11.0
353,2020-08-30,AT121,10.0
354,2020-09-06,AT121,5.0
355,2020-09-13,AT121,27.0
356,2020-09-20,AT121,70.0
357,2020-09-27,AT121,104.0
358,2020-10-04,AT121,87.0
359,2020-10-11,AT121,89.0
360,2020-10-18,AT121,166.0
361,2020-10-25,AT121,383.0
362,2020-11-01,AT121,797.0
363,2020-11-08,AT121,1355.0
364,2020-11-15,AT121,1705.0
365,2020-11-22,AT121,1696.0
366,2020-11-29,AT121,1277.0
367,2020-12-06,AT121,985.0
368,2020-12-13,AT121,815.0
369,2020-12-20,AT121,654.0
370,2020-12-27,AT121,615.0
371,2021-01-03,AT121,628.0
372,2021-01-10,AT121,515.0
373,2021-01-17,AT121,384.0
374,2021-01-24,AT121,313.0
375,2021-01-31,AT121,271.0
376,2021-02-07,AT121,221.0
377,2021-02-14,AT121,234.0
378,2021-02-21,AT121,300.0
379,2021-02-28,AT121,324.0
380,2021-03-07,AT121,263.0
381,2021-03-14,AT121,352.0
382,2021-03-21,AT121,605.0
383,2021-03-28,AT121,899.0
384,2021-04-04,AT121,1085.0
385,2021-04-11,AT121,646.0
386,2021-04-18,AT121,542.0
387,2021-04-25,AT121,424.0
388,2021-05-02,AT121,334.0
389,2021-05-09,AT121,201.0
390,2021-05-16,AT121,116.0
391,2021-05-23,AT121,97.0
392,2021-05-30,AT121,113.0
393,2021-06-06,AT121,63.0
394,2021-06-13,AT121,53.0
395,2021-06-20,AT121,19.0
396,2021-06-27,AT121,7.0
397,2021-07-04,AT121,12.0
398,2021-07-11,AT121,10.0
399,2021-07-18,AT121,30.0
400,2021-07-25,AT121,39.0
401,2021-08-01,AT121,69.0
402,2021-08-08,AT121,87.0
403,2021-08-15,AT121,134.0
404,2021-08-22,AT121,127.0
405,2021-08-29,AT121,136.0
406,2021-09-05,AT121,258.0
