,date,country,deaths
0,2020-01-05,BG,
1,2020-01-12,BG,
2,2020-01-19,BG,
3,2020-01-26,BG,0.0
4,2020-02-02,BG,0.0
5,2020-02-09,BG,0.0
6,2020-02-16,BG,0.0
7,2020-02-23,BG,0.0
8,2020-03-01,BG,0.0
9,2020-03-08,BG,0.0
10,2020-03-15,BG,2.0
11,2020-03-22,BG,1.0
12,2020-03-29,BG,5.0
13,2020-04-05,BG,12.0
14,2020-04-12,BG,9.0
15,2020-04-19,BG,13.0
16,2020-04-26,BG,14.0
17,2020-05-03,BG,17.0
18,2020-05-10,BG,18.0
19,2020-05-17,BG,17.0
20,2020-05-24,BG,22.0
21,2020-05-31,BG,10.0
22,2020-06-07,BG,20.0
23,2020-06-14,BG,14.0
24,2020-06-21,BG,25.0
25,2020-06-28,BG,20.0
26,2020-07-05,BG,27.0
27,2020-07-12,BG,22.0
28,2020-07-19,BG,32.0
29,2020-07-26,BG,40.0
30,2020-08-02,BG,48.0
31,2020-08-09,BG,59.0
32,2020-08-16,BG,51.0
33,2020-08-23,BG,47.0
34,2020-08-30,BG,68.0
35,2020-09-06,BG,63.0
36,2020-09-13,BG,44.0
37,2020-09-20,BG,41.0
38,2020-09-27,BG,35.0
39,2020-10-04,BG,48.0
40,2020-10-11,BG,48.0
41,2020-10-18,BG,94.0
42,2020-10-25,BG,108.0
43,2020-11-01,BG,204.0
44,2020-11-08,BG,367.0
45,2020-11-15,BG,465.0
46,2020-11-22,BG,750.0
47,2020-11-29,BG,934.0
48,2020-12-06,BG,983.0
49,2020-12-13,BG,891.0
50,2020-12-20,BG,921.0
51,2020-12-27,BG,555.0
52,2021-01-03,BG,514.0
53,2021-01-10,BG,448.0
54,2021-01-17,BG,357.0
55,2021-01-24,BG,337.0
56,2021-01-31,BG,225.0
57,2021-02-07,BG,286.0
58,2021-02-14,BG,293.0
59,2021-02-21,BG,230.0
60,2021-02-28,BG,337.0
61,2021-03-07,BG,423.0
62,2021-03-14,BG,671.0
63,2021-03-21,BG,734.0
64,2021-03-28,BG,691.0
65,2021-04-04,BG,879.0
66,2021-04-11,BG,829.0
67,2021-04-18,BG,777.0
68,2021-04-25,BG,712.0
69,2021-05-02,BG,585.0
70,2021-05-09,BG,437.0
71,2021-05-16,BG,330.0
72,2021-05-23,BG,237.0
73,2021-05-30,BG,166.0
74,2021-06-06,BG,158.0
75,2021-06-13,BG,80.0
76,2021-06-20,BG,90.0
77,2021-06-27,BG,37.0
78,2021-07-04,BG,57.0
79,2021-07-11,BG,56.0
80,2021-07-18,BG,34.0
81,2021-07-25,BG,20.0
82,2021-08-01,BG,21.0
83,2021-08-08,BG,40.0
84,2021-08-15,BG,89.0
85,2021-08-22,BG,131.0
86,2021-08-29,BG,256.0
87,2021-09-05,BG,384.0
88,2021-09-12,BG,407.0
89,2021-09-19,BG,506.0
90,2021-09-26,BG,461.0
91,2021-10-03,BG,549.0
92,2021-10-10,BG,618.0
93,2021-10-17,BG,618.0
94,2021-10-24,BG,799.0
95,2021-10-31,BG,926.0
96,2021-11-07,BG,1075.0
97,2021-11-14,BG,1205.0
98,2021-11-21,BG,974.0
99,2021-11-28,BG,848.0
100,2021-12-05,BG,751.0
101,2021-12-12,BG,684.0
102,2021-12-19,BG,546.0
103,2021-12-26,BG,492.0
104,2022-01-02,BG,453.0
105,2022-01-09,BG,529.0
106,2022-01-16,BG,530.0
107,2022-01-23,BG,578.0
108,2022-01-30,BG,457.0
109,2020-01-05,CY,
110,2020-01-12,CY,
