,05/01/2020,12/01/2020,19/01/2020,26/01/2020,02/02/2020,09/02/2020,16/02/2020,23/02/2020,01/03/2020,08/03/2020,15/03/2020,22/03/2020,29/03/2020,05/04/2020,12/04/2020,19/04/2020,26/04/2020,03/05/2020,10/05/2020,17/05/2020,24/05/2020,31/05/2020,07/06/2020,14/06/2020,21/06/2020,28/06/2020,05/07/2020,12/07/2020,19/07/2020,26/07/2020,02/08/2020,09/08/2020,16/08/2020,23/08/2020,30/08/2020,06/09/2020,13/09/2020,20/09/2020,27/09/2020,04/10/2020,11/10/2020,18/10/2020,25/10/2020,01/11/2020,08/11/2020,15/11/2020,22/11/2020,29/11/2020,06/12/2020,13/12/2020,20/12/2020,27/12/2020,03/01/2021,10/01/2021,17/01/2021,24/01/2021,31/01/2021,07/02/2021,14/02/2021,21/02/2021,28/02/2021,07/03/2021,14/03/2021,21/03/2021,28/03/2021,04/04/2021,11/04/2021,18/04/2021,25/04/2021,02/05/2021,09/05/2021,16/05/2021,23/05/2021,30/05/2021,06/06/2021,13/06/2021,20/06/2021,27/06/2021,04/07/2021,11/07/2021,18/07/2021,25/07/2021,01/08/2021,08/08/2021,15/08/2021,22/08/2021,29/08/2021,05/09/2021,12/09/2021,19/09/2021,26/09/2021,03/10/2021,10/10/2021,17/10/2021,24/10/2021,31/10/2021,07/11/2021,14/11/2021,21/11/2021,28/11/2021,05/12/2021,12/12/2021,19/12/2021,26/12/2021,02/01/2022,09/01/2022,16/01/2022,23/01/2022,30/01/2022
BG,,,,0,0,0,0,0,0,0,2,1,5,12,9,13,14,17,18,17,22,10,20,14,25,20,27,22,32,40,48,59,51,47,68,63,44,41,35,48,48,94,108,204,367,465,750,934,983,891,921,555,514,448,357,337,225,286,293,230,337,423,671,734,691,879,829,777,712,585,437,330,237,166,158,80,90,37,57,56,34,20,21,40,89,131,256,384,407,506,461,549,618,618,799,926,1075,1205,974,848,751,684,546,492,453,529,530,578,457
CY,,,,0,0,0,0,0,0,0,0,0,5,4,1,2,2,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,0,0,1,1,12,4,5,11,19,12,22,18,18,20,16,14,14,9,9,2,1,6,4,8,11,11,16,10,15,21,12,7,7,3,10,1,0,0,6,4,15,22,18,22,23,21,16,15,10,4,1,7,4,6,6,2,10,3,1,10,9,10,8,11,18,24,31,18
HU,,,,0,0,0,0,0,0,0,1,5,7,21,65,90,83,68,73,38,35,40,20,16,8,11,8,6,1,0,1,5,6,5,1,10,13,46,53,86,132,188,283,394,619,659,703,872,1196,1097,1134,948,837,764,693,627,556,566,616,593,675,899,1079,1310,1710,1743,1702,1767,1441,1177,800,573,344,209,126,50,46,30,12,12,11,5,6,7,5,8,11,4,25,37,28,48,76,76,141,237,455,683,913,1086,1256,1307,1101,777,879,594,457,585,407
IS,,,,0,0,0,0,0,0,0,5,8,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,5,0,2
LV,,,,0,0,0,0,0,0,0,0,0,0,1,4,0,7,4,2,1,3,2,1,3,2,0,0,0,1,0,1,0,0,1,1,1,0,1,0,2,2,4,12,18,25,24,30,44,65,87,90,120,121,169,129,133,84,144,112,91,76,77,72,59,52,53,55,67,49,42,68,54,60,44,43,43,40,7,25,8,7,7,6,3,2,8,4,12,24,31,44,57,60,89,138,225,246,263,188,196,121,108,69,59,76,79,72,65,67
LI,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,10,3,3,10,16,9,14,0,5,0,0,2,1,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,1,5,1,1,0,2,1,1,0
LU,,,,0,0,0,0,0,0,0,1,7,13,15,30,11,15,8,5,6,3,0,0,0,0,0,0,1,0,1,5,3,3,1,0,0,0,0,0,1,7,1,8,11,28,39,41,40,45,47,42,24,37,32,22,13,15,13,16,16,15,15,29,33,24,12,13,22,5,6,5,5,4,4,4,0,0,0,0,1,1,1,1,2,4,2,0,0,4,0,1,0,1,3,3,1,6,6,7,4,14,10,8,9,8,7,12,9,5
MT,,,,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,5,11,8,2,4,6,13,16,21,14,22,18,18,21,20,10,13,6,12,16,15,11,11,11,19,17,21,15,11,4,7,4,3,1,0,0,2,0,0,1,0,0,0,0,1,2,3,4,6,4,4,5,4,4,2,0,0,0,2,1,0,1,5,0,2,1,4,4,8,19,26,13
NO,,,,0,0,0,0,0,0,0,3,4,18,46,57,37,36,10,8,13,3,1,2,4,2,5,2,1,3,0,0,1,5,3,0,0,1,2,3,5,0,3,1,3,3,9,12,22,26,33,17,17,15,36,45,27,20,18,10,15,15,10,7,9,8,17,11,24,28,20,11,7,7,2,2,6,1,2,2,2,0,3,0,5,4,3,3,8,5,14,9,11,10,13,10,6,22,30,49,51,43,43,68,53,48,45,31,33,25
RO111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,4,3,3,1,5,3,6,8,8,15,13,19,27,28,29,30,22,19,15,19,10,9,13,9,9,16,9,8,17,10,14,15,28,14,24,33,19,29,19,24,25,11,11,3,16,6,3,0,0,0,0,0,0,0,0,8,1,40,6,9,15,18,37,70,43,88,45,39,38,9,15,5,,,,,,
