country_region_code,variable,value,wave
Austria,Grocery and pharmacy,-24.72690991955359,First wave
Austria,Parks,-31.37649576806347,First wave
Austria,Residential,15.395379028726529,First wave
Austria,Retail and recreation,-58.30322947891754,First wave
Austria,Transit stations,-44.71129916982833,First wave
Austria,Workplaces,-39.59246230158377,First wave
Belgium,Grocery and pharmacy,-19.461016949152544,First wave
Belgium,Parks,-13.356497175141243,First wave
Belgium,Residential,19.03559322033898,First wave
Belgium,Retail and recreation,-58.41525423728814,First wave
Belgium,Transit stations,-50.43728813559322,First wave
Belgium,Workplaces,-45.66101694915254,First wave
Bulgaria,Grocery and pharmacy,-21.387258201286215,First wave
Bulgaria,Parks,-22.971069090014215,First wave
Bulgaria,Residential,12.235714201699627,First wave
Bulgaria,Retail and recreation,-44.37677904820728,First wave
Bulgaria,Transit stations,-41.159598208102814,First wave
Bulgaria,Workplaces,-31.077464638158506,First wave
Switzerland,Grocery and pharmacy,-9.473149607151813,First wave
Switzerland,Parks,8.88070300355222,First wave
Switzerland,Residential,15.814499367220153,First wave
Switzerland,Retail and recreation,-56.23311028453102,First wave
Switzerland,Transit stations,-39.211525423728816,First wave
Switzerland,Workplaces,-33.51476703492761,First wave
Czech Republic,Grocery and pharmacy,-5.089840355258627,First wave
Czech Republic,Parks,10.547423884694718,First wave
Czech Republic,Residential,11.782935756805843,First wave
Czech Republic,Retail and recreation,-47.808575117729966,First wave
Czech Republic,Transit stations,-32.863007113821666,First wave
Czech Republic,Workplaces,-28.37019821588602,First wave
Germany,Grocery and pharmacy,-7.8192090395480225,First wave
Germany,Parks,27.305084745762713,First wave
Germany,Residential,10.923728813559322,First wave
Germany,Retail and recreation,-40.26588983050848,First wave
Germany,Transit stations,-39.66525423728814,First wave
Germany,Workplaces,-29.39512711864407,First wave
Denmark,Grocery and pharmacy,-9.803609744817075,First wave
Denmark,Parks,32.2534103491909,First wave
Denmark,Residential,11.93009670996292,First wave
Denmark,Retail and recreation,-20.781647077571588,First wave
Denmark,Transit stations,-39.55815711122668,First wave
Denmark,Workplaces,-35.22467864054205,First wave
Estonia,Grocery and pharmacy,-11.368600608431118,First wave
Estonia,Parks,10.666666666666668,First wave
Estonia,Residential,12.29406779661017,First wave
Estonia,Retail and recreation,-36.38214836011446,First wave
Estonia,Transit stations,-29.435351089588377,First wave
Estonia,Workplaces,-31.768845843422113,First wave
Spain,Grocery and pharmacy,-42.043358297201415,First wave
Spain,Parks,-58.294442254631456,First wave
Spain,Residential,21.36189162302682,First wave
Spain,Retail and recreation,-72.25817895151755,First wave
Spain,Transit stations,-65.01446581305161,First wave
Spain,Workplaces,-50.89396925502562,First wave
Finland,Grocery and pharmacy,-10.358673407084785,First wave
Finland,Parks,31.448781569605142,First wave
Finland,Residential,10.112352743953078,First wave
Finland,Retail and recreation,-33.123045073379615,First wave
Finland,Transit stations,-39.469614258253905,First wave
Finland,Workplaces,-29.84614843920516,First wave
France,Grocery and pharmacy,-32.9712358988175,First wave
France,Parks,-42.19653768956289,First wave
France,Residential,21.058007866051803,First wave
France,Retail and recreation,-64.52115029956789,First wave
France,Transit stations,-59.42586145782577,First wave
France,Workplaces,-48.392125706214685,First wave
United Kingdom,Grocery and pharmacy,-17.9164331077246,First wave
United Kingdom,Parks,-4.476439535022417,First wave
United Kingdom,Residential,17.431920239176037,First wave
United Kingdom,Retail and recreation,-52.333292531099545,First wave
United Kingdom,Transit stations,-45.25307143476933,First wave
United Kingdom,Workplaces,-44.77978203344588,First wave
Greece,Grocery and pharmacy,-8.469733656174334,First wave
