ID,Cluster
BE1,1
BE10,1
BE2,1
BE21,1
BE22,1
BE23,1
BE24,1
BE25,1
BE3,1
BE31,1
BE32,1
BE33,1
BE34,1
BE35,1
BG3,2
BG31,2
BG32,2
BG33,2
BG34,2
BG4,2
BG41,2
BG42,2
CZ0,3
CZ01,2
CZ02,2
CZ03,2
CZ04,2
CZ05,2
CZ06,2
CZ07,3
CZ08,3
DE,4
DE1,1
DE11,1
DE12,1
DE13,1
DE14,1
DE2,1
DE21,2
DE22,2
DE23,2
DE24,2
DE25,1
DE26,1
DE27,1
DE3,2
DE30,2
DE4,2
DE40,2
DE5,1
DE50,1
DE6,2
DE60,2
DE7,1
DE71,1
DE72,1
DE73,1
DE8,2
DE80,2
DE9,1
DE91,1
DE92,1
DE93,1
DE94,1
DEA,1
DEA1,1
DEA2,1
DEA3,1
DEA4,1
DEA5,1
DEB,1
DEB1,1
DEB2,1
DEB3,1
DEC,1
Dec-00,1
DED,2
DED2,2
DED4,2
DED5,2
DEE,2
DEE0,2
DEF,2
DEF0,2
DEG,2
DEG0,2
EE0,2
EE00,2
IE0,2
IE04,2
IE05,2
IE06,2
EL3,2
EL30,2
EL4,2
EL41,2
EL42,2
EL43,2
EL5,2
EL51,2
EL52,2
EL53,2
EL54,2
EL6,2
EL61,2
EL62,2
EL63,2
EL64,2
EL65,2
ES1,5
ES11,5
ES12,5
ES13,5
ES2,5
ES21,5
ES22,5
ES23,5
ES24,5
ES3,5
ES30,5
ES4,5
ES41,5
ES42,5
ES43,5
ES51,5
ES52,5
ES6,5
ES61,5
ES62,5
FR1,5
FR10,5
FRB,5
FRB0,5
FRC,5
FRC1,5
FRC2,5
FRD,5
FRD1,5
FRD2,5
FRE,1
FRE1,1
FRE2,5
FRF,1
FRF1,1
FRF2,1
FRF3,1
FRG,5
FRG0,5
FRH,5
FRH0,5
FRI,5
FRI1,5
FRI2,5
FRI3,5
FRJ,5
FRJ1,5
FRJ2,5
FRK,5
FRK1,5
FRK2,5
FRL,5
FRL0,5
HR0,2
HR03,2
ITC,5
ITC1,5
ITC2,5
ITC3,5
ITC4,5
ITH,5
ITH1,2
ITH2,2
ITH3,2
ITH4,2
ITH5,5
ITI,5
ITI1,5
ITI2,2
ITI3,2
ITI4,2
ITF,2
ITF1,2
ITF2,2
ITF3,2
ITF4,2
ITF5,2
ITF6,2
LV0,2
LV00,2
LT0,2
LT01,2
LT02,2
LU0,1
LU00,1
HU1,2
HU11,2
HU12,2
HU2,2
HU21,2
HU22,2
HU23,2
HU3,2
HU31,2
HU32,2
HU33,2
NL1,1
NL11,1
NL12,1
NL13,1
NL2,1
NL21,1
NL22,1
NL23,1
NL3,1
NL31,1
NL32,1
NL33,1
NL34,1
NL4,1
NL41,1
NL42,1
AT1,2
AT11,2
AT12,2
AT13,2
AT2,2
AT21,2
AT22,2
AT3,2
AT31,2
AT32,2
AT33,2
AT34,1
PL2,3
PL21,3
PL22,3
PL4,3
PL41,3
PL42,2
PL43,2
PL5,3
PL51,2
PL52,3
PL6,3
PL61,3
PL62,3
PL63,3
PL7,3
PL71,3
PL72,3
PL8,3
PL81,3
PL82,3
PL84,3
PL9,3
PL91,3
PL92,3
PT1,5
PT11,5
PT15,5
PT16,5
PT17,2
PT18,5
RO1,2
RO11,2
RO12,2
RO2,2
RO21,2
RO22,2
RO3,2
RO31,2
RO32,2
RO4,2
RO41,2
RO42,2
SI0,2
SI03,2
SI04,2
SK0,3
SK01,2
SK02,2
SK03,3
SK04,2
FI1,2
FI19,2
FI1B,2
FI1C,2
FI1D,2
FI2,2
FI20,2
SE1,2
SE11,2
SE12,2
SE2,2
SE21,2
SE22,2
SE23,2
SE3,2
SE31,2
SE32,2
SE33,2
IS0,2
IS00,2
NO0,2
NO02,2
NO06,2
NO07,2
CH0,5
CH01,5
CH02,1
CH03,1
CH04,1
CH05,1
CH06,1
CH07,5
UKC,2
UKC1,2
UKC2,2
UKD,2
UKD1,2
UKD3,2
UKD4,2
UKD6,2
UKD7,2
UKE,2
UKE1,2
UKE2,2
UKE3,2
UKE4,2
UKF,2
UKF1,2
UKF2,2
UKF3,2
UKG,2
UKG1,2
UKG2,2
UKG3,2
UKH,2
UKH1,2
UKH2,2
UKH3,2
UKI,2
UKI3,2
UKI4,2
UKI5,2
UKI6,2
UKI7,2
UKJ,2
UKJ1,2
UKJ2,2
UKJ3,2
UKJ4,2
UKK,2
UKK1,2
UKK2,2
UKK3,2
UKK4,2
UKL,2
UKL1,2
UKL2,2
UKM,2
UKM5,2
UKM7,2
UKM8,2
UKM9,2
UKN,2
UKN0,2
ME0,2
ME00,2
MK0,2
MK00,2
RS,2
RS1,2
RS11,2
RS12,2
RS2,2
RS21,2
RS22,2
