"","x"
"BE1",1
"BE10",1
"BE2",1
"BE21",2
"BE22",3
"BE23",4
"BE24",3
"BE25",4
"BE3",3
"BE31",2
"BE32",3
"BE33",1
"BE34",1
"BE35",2
"BG3",3
"BG31",1
"BG32",3
"BG33",1
"BG34",4
"BG4",1
"BG41",1
"BG42",4
"CZ0",1
"CZ01",2
"CZ02",1
"CZ03",1
"CZ04",4
"CZ05",1
"CZ06",3
"CZ07",3
"CZ08",4
"DE",5
"DE1",1
"DE11",4
"DE12",4
"DE13",3
"DE14",2
"DE2",4
"DE21",4
"DE22",4
"DE23",4
"DE24",1
"DE25",4
"DE26",1
"DE27",3
"DE3",2
"DE30",2
"DE4",4
"DE40",4
"DE5",1
"DE50",1
"DE6",3
"DE60",3
"DE7",4
"DE71",4
"DE72",1
"DE73",1
"DE8",4
"DE80",4
"DE9",4
"DE91",4
"DE92",4
"DE93",2
"DE94",1
"DEA",4
"DEA1",1
"DEA2",4
"DEA3",3
"DEA4",1
"DEA5",1
"DEB",4
"DEB1",4
"DEB2",2
"DEB3",3
"DEC",2
"DEC0",2
"DED",1
"DED2",1
"DED4",4
"DED5",3
"DEE",1
"DEE0",1
"DEF",4
"DEF0",4
"DEG",2
"DEG0",2
"EE0",4
"EE00",4
"IE0",4
"IE04",4
"IE05",1
"IE06",1
"EL3",1
"EL30",1
"EL4",1
"EL41",4
"EL42",4
"EL43",1
"EL5",3
"EL51",1
"EL52",3
"EL53",1
"EL54",3
"EL6",4
"EL61",3
"EL62",4
"EL63",4
"EL64",1
"EL65",2
"ES1",3
"ES11",1
"ES12",1
"ES13",3
"ES2",1
"ES21",2
"ES22",4
"ES23",3
"ES24",3
"ES3",4
"ES30",4
"ES4",3
"ES41",3
"ES42",4
"ES43",4
"ES51",2
"ES52",4
"ES6",1
"ES61",4
"ES62",4
"FR1",4
"FR10",4
"FRB",2
"FRB0",2
"FRC",2
"FRC1",1
"FRC2",4
"FRD",3
"FRD1",1
"FRD2",2
"FRE",1
"FRE1",1
"FRE2",4
"FRF",1
"FRF1",2
"FRF2",1
"FRF3",4
"FRG",1
"FRG0",1
"FRH",1
"FRH0",1
"FRI",3
"FRI1",1
"FRI2",4
"FRI3",4
"FRJ",2
"FRJ1",1
"FRJ2",1
"FRK",2
"FRK1",2
"FRK2",3
"FRL",3
"FRL0",3
"HR0",1
"HR03",2
"ITC",1
"ITC1",2
"ITC2",1
"ITC3",1
"ITC4",1
"ITH",2
"ITH1",3
"ITH2",4
"ITH3",3
"ITH4",4
"ITH5",4
"ITI",1
"ITI1",3
"ITI2",4
"ITI3",3
"ITI4",4
"ITF",4
"ITF1",4
"ITF2",3
"ITF3",3
"ITF4",1
"ITF5",4
"ITF6",3
"LV0",4
"LV00",4
"LT0",2
"LT01",1
"LT02",4
"LU0",1
"LU00",1
"HU1",1
"HU11",4
"HU12",1
"HU2",4
"HU21",3
"HU22",4
"HU23",3
"HU3",2
"HU31",1
"HU32",2
"HU33",2
"MT0",1
"NL1",2
"NL11",4
"NL12",1
"NL13",3
"NL2",4
"NL21",1
"NL22",1
"NL23",3
"NL3",2
"NL31",4
"NL32",2
"NL33",1
"NL34",1
"NL4",3
"NL41",1
"NL42",4
"AT1",2
"AT11",2
"AT12",1
"AT13",1
"AT2",4
"AT21",1
"AT22",4
"AT3",4
"AT31",2
"AT32",4
"AT33",4
"AT34",1
"PL2",4
"PL21",1
"PL22",1
"PL4",1
"PL41",4
"PL42",1
"PL43",3
"PL5",2
"PL51",1
"PL52",3
"PL6",3
"PL61",1
"PL62",3
"PL63",1
"PL7",3
"PL71",4
"PL72",1
"PL8",1
"PL81",1
"PL82",3
"PL84",3
"PL9",2
"PL91",4
"PL92",1
"PT1",1
"PT11",1
"PT15",1
"PT16",1
"PT17",1
"PT18",4
"RO1",3
"RO11",4
"RO12",4
"RO2",4
"RO21",3
"RO22",4
"RO3",1
"RO31",1
"RO32",4
"RO4",1
"RO41",1
"RO42",2
"SI0",4
"SI03",4
"SI04",4
"SK0",1
"SK01",1
"SK02",2
"SK03",4
"SK04",1
"FI1",3
"FI19",3
"FI1B",1
"FI1C",4
"FI1D",1
"FI2",4
"FI20",4
"SE1",2
"SE11",4
"SE12",3
"SE2",1
"SE21",3
"SE22",2
"SE23",4
"SE3",1
"SE31",1
"SE32",2
"SE33",2
"IS0",1
"IS00",1
"NO0",1
"NO02",1
"NO06",2
"NO07",4
"CH0",4
"CH01",1
"CH02",3
"CH03",1
"CH04",3
"CH05",3
"CH06",4
"CH07",3
"UKC",2
"UKC1",1
"UKC2",4
"UKD",2
"UKD1",3
"UKD3",4
"UKD4",1
"UKD6",2
"UKD7",4
"UKE",1
"UKE1",2
"UKE2",4
"UKE3",2
"UKE4",3
"UKF",1
"UKF1",2
"UKF2",3
"UKF3",4
"UKG",1
"UKG1",4
"UKG2",3
"UKG3",4
"UKH",4
"UKH1",4
"UKH2",1
"UKH3",4
"UKI",4
"UKI3",4
"UKI4",1
"UKI5",1
"UKI6",1
"UKI7",1
"UKJ",4
"UKJ1",3
"UKJ2",1
"UKJ3",2
"UKJ4",1
"UKK",1
"UKK1",4
"UKK2",4
"UKK3",1
"UKK4",1
"UKL",4
"UKL1",1
"UKL2",4
"UKM",2
"UKM5",4
"UKM7",1
"UKM8",1
"UKM9",1
"UKN",3
"UKN0",3
"ME0",3
"ME00",3
"MK0",1
"MK00",1
"RS",2
"RS1",1
"RS11",3
"RS12",4
"RS2",2
"RS21",2
"RS22",4
