country_region_code,variable,value,wave
AT,Grocery and pharmacy,-24.72690991955359,First wave
AT,Parks,-31.37649576806347,First wave
AT,Residential,15.395379028726529,First wave
AT,Retail and recreation,-58.30322947891754,First wave
AT,Transit stations,-44.71129916982833,First wave
AT,Workplaces,-39.59246230158377,First wave
BE,Grocery and pharmacy,-19.461016949152544,First wave
BE,Parks,-13.356497175141243,First wave
BE,Residential,19.03559322033898,First wave
BE,Retail and recreation,-58.41525423728814,First wave
BE,Transit stations,-50.43728813559322,First wave
BE,Workplaces,-45.66101694915254,First wave
BG,Grocery and pharmacy,-21.387258201286215,First wave
BG,Parks,-22.971069090014215,First wave
BG,Residential,12.235714201699627,First wave
BG,Retail and recreation,-44.37677904820728,First wave
BG,Transit stations,-41.159598208102814,First wave
BG,Workplaces,-31.077464638158506,First wave
CH,Grocery and pharmacy,-9.473149607151813,First wave
CH,Parks,8.88070300355222,First wave
CH,Residential,15.814499367220153,First wave
CH,Retail and recreation,-56.23311028453102,First wave
CH,Transit stations,-39.211525423728816,First wave
CH,Workplaces,-33.51476703492761,First wave
CZ,Grocery and pharmacy,-5.089840355258627,First wave
CZ,Parks,10.547423884694718,First wave
CZ,Residential,11.782935756805843,First wave
CZ,Retail and recreation,-47.808575117729966,First wave
CZ,Transit stations,-32.863007113821666,First wave
CZ,Workplaces,-28.37019821588602,First wave
DE,Grocery and pharmacy,-7.8192090395480225,First wave
DE,Parks,27.305084745762713,First wave
DE,Residential,10.923728813559322,First wave
DE,Retail and recreation,-40.26588983050848,First wave
DE,Transit stations,-39.66525423728814,First wave
DE,Workplaces,-29.39512711864407,First wave
DK,Grocery and pharmacy,-9.803609744817075,First wave
DK,Parks,32.2534103491909,First wave
DK,Residential,11.93009670996292,First wave
DK,Retail and recreation,-20.781647077571588,First wave
DK,Transit stations,-39.55815711122668,First wave
DK,Workplaces,-35.22467864054205,First wave
EE,Grocery and pharmacy,-11.368600608431118,First wave
EE,Parks,10.666666666666668,First wave
EE,Residential,12.29406779661017,First wave
EE,Retail and recreation,-36.38214836011446,First wave
EE,Transit stations,-29.435351089588377,First wave
EE,Workplaces,-31.768845843422113,First wave
ES,Grocery and pharmacy,-42.043358297201415,First wave
ES,Parks,-58.294442254631456,First wave
ES,Residential,21.36189162302682,First wave
ES,Retail and recreation,-72.25817895151755,First wave
ES,Transit stations,-65.01446581305161,First wave
ES,Workplaces,-50.89396925502562,First wave
FI,Grocery and pharmacy,-10.358673407084785,First wave
FI,Parks,31.448781569605142,First wave
FI,Residential,10.112352743953078,First wave
FI,Retail and recreation,-33.123045073379615,First wave
FI,Transit stations,-39.469614258253905,First wave
FI,Workplaces,-29.84614843920516,First wave
FR,Grocery and pharmacy,-32.9712358988175,First wave
FR,Parks,-42.19653768956289,First wave
FR,Residential,21.058007866051803,First wave
FR,Retail and recreation,-64.52115029956789,First wave
FR,Transit stations,-59.42586145782577,First wave
FR,Workplaces,-48.392125706214685,First wave
GB,Grocery and pharmacy,-17.9164331077246,First wave
GB,Parks,-4.476439535022417,First wave
GB,Residential,17.431920239176037,First wave
GB,Retail and recreation,-52.333292531099545,First wave
GB,Transit stations,-45.25307143476933,First wave
GB,Workplaces,-44.77978203344588,First wave
GR,Grocery and pharmacy,-8.469733656174334,First wave
GR,Parks,-26.152542372881356,First wave
GR,Residential,16.416464891041162,First wave
GR,Retail and recreation,-57.70217917675545,First wave
GR,Transit stations,-50.697336561743334,First wave
GR,Workplaces,-41.00242130750605,First wave
HR,Grocery and pharmacy,-22.288984633401384,First wave
HR,Parks,-4.523108200650574,First wave
HR,Residential,13.707298271131771,First wave
HR,Retail and recreation,-48.57506690454951,First wave
HR,Transit stations,-50.51231724625622,First wave
HR,Workplaces,-37.354317998385795,First wave
HU,Grocery and pharmacy,-12.836440677966102,First wave
HU,Parks,7.912900438200852,First wave
HU,Residential,11.586695760671203,First wave
HU,Retail and recreation,-31.625512934879573,First wave
HU,Transit stations,-29.522033898305082,First wave
HU,Workplaces,-29.99576271186441,First wave
IE,Grocery and pharmacy,-12.31348109517601,First wave
IE,Parks,-9.726749233617474,First wave
IE,Residential,19.42837493254269,First wave
IE,Retail and recreation,-54.72879356457839,First wave
IE,Transit stations,-44.56164018618064,First wave
IE,Workplaces,-43.70805736636245,First wave
IT,Grocery and pharmacy,-43.37847929705941,First wave
IT,Parks,-65.41634964763604,First wave
IT,Residential,25.210894739451973,First wave
IT,Retail and recreation,-73.67908538535337,First wave
IT,Transit stations,-70.11450710981494,First wave
IT,Workplaces,-54.68276303165974,First wave
LI,Grocery and pharmacy,-1.25,First wave
LI,Parks,,First wave
LI,Residential,,First wave
LI,Retail and recreation,-45.26470588235294,First wave
LI,Transit stations,-30.87719298245614,First wave
LI,Workplaces,-30.441860465116278,First wave
LT,Grocery and pharmacy,-17.518355304457,First wave
LT,Parks,21.709839588377722,First wave
LT,Residential,12.576424535916061,First wave
LT,Retail and recreation,-41.289900008967805,First wave
LT,Transit stations,-31.28517924401399,First wave
LT,Workplaces,-33.12876580575733,First wave
LU,Grocery and pharmacy,-27.305084745762713,First wave
LU,Parks,-21.491525423728813,First wave
LU,Residential,23.17543859649123,First wave
LU,Retail and recreation,-62.49152542372882,First wave
LU,Transit stations,-52.83050847457627,First wave
LU,Workplaces,-52.50847457627118,First wave
LV,Grocery and pharmacy,-11.581611240176334,First wave
LV,Parks,-13.901129943502823,First wave
LV,Residential,9.785310734463277,First wave
LV,Retail and recreation,-25.541027489163884,First wave
LV,Transit stations,-35.54237288135593,First wave
LV,Workplaces,-28.849964631026584,First wave
MT,Grocery and pharmacy,-18.152542372881356,First wave
MT,Parks,-28.779661016949152,First wave
MT,Residential,19.389830508474578,First wave
MT,Retail and recreation,-52.3728813559322,First wave
MT,Transit stations,-40.76271186440678,First wave
MT,Workplaces,-42.016949152542374,First wave
NL,Grocery and pharmacy,-6.144081499673302,First wave
NL,Parks,10.134870342411824,First wave
NL,Residential,12.442400834881575,First wave
NL,Retail and recreation,-31.206628036525156,First wave
NL,Transit stations,-42.1169346151317,First wave
NL,Workplaces,-32.71532314430604,First wave
NO,Grocery and pharmacy,-7.922864784731985,First wave
NO,Parks,20.478693849327144,First wave
NO,Residential,13.062862173527622,First wave
NO,Retail and recreation,-30.82577646348083,First wave
NO,Transit stations,-35.8699046931322,First wave
NO,Workplaces,-35.23344186754345,First wave
PL,Grocery and pharmacy,-19.613103657930797,First wave
PL,Parks,-21.920844698778716,First wave
PL,Residential,13.048305065849538,First wave
PL,Retail and recreation,-41.56120663738494,First wave
PL,Transit stations,-42.76632399471002,First wave
PL,Workplaces,-28.19842243592437,First wave
PT,Grocery and pharmacy,-30.566647671976124,First wave
PT,Parks,-42.85228541609107,First wave
PT,Residential,23.920726928939086,First wave
PT,Retail and recreation,-57.90620437110644,First wave
PT,Transit stations,-56.27729086774096,First wave
PT,Workplaces,-43.808440597164164,First wave
RO,Grocery and pharmacy,-29.48264996762133,First wave
RO,Parks,-31.5934911121648,First wave
RO,Residential,13.783416507233078,First wave
RO,Retail and recreation,-50.895027185605976,First wave
RO,Transit stations,-44.41313420034562,First wave
RO,Workplaces,-34.08691352246029,First wave
SE,Grocery and pharmacy,-3.3884595512768136,First wave
SE,Parks,24.88085970144934,First wave
SE,Residential,7.967800724689637,First wave
SE,Retail and recreation,-14.18982432057215,First wave
SE,Transit stations,-24.624908876041047,First wave
SE,Workplaces,-19.721566006596863,First wave
SI,Grocery and pharmacy,-39.49543536805501,First wave
SI,Parks,-29.145608017218187,First wave
SI,Residential,17.061097659402744,First wave
SI,Retail and recreation,-59.48591506146801,First wave
SI,Transit stations,-45.742601337957176,First wave
SI,Workplaces,-40.260886452039834,First wave
SK,Grocery and pharmacy,-23.698053861458646,First wave
SK,Parks,-14.825966219795259,First wave
SK,Residential,14.167972328013715,First wave
SK,Retail and recreation,-57.385941064008406,First wave
SK,Transit stations,-47.51703012884898,First wave
SK,Workplaces,-35.785518983448924,First wave
AT,Grocery and pharmacy,-14.91185831755385,Second wave
AT,Parks,-17.699998471446598,Second wave
AT,Residential,8.467363898379476,Second wave
AT,Retail and recreation,-39.593658113870305,Second wave
AT,Transit stations,-29.30392062963699,Second wave
AT,Workplaces,-27.753457442430374,Second wave
BE,Grocery and pharmacy,0.19193176579068702,Second wave
BE,Parks,34.85488704472107,Second wave
BE,Residential,11.004979253112033,Second wave
BE,Retail and recreation,-30.5830336560627,Second wave
BE,Transit stations,-26.65850622406639,Second wave
BE,Workplaces,-24.930705394190873,Second wave
BG,Grocery and pharmacy,3.6025891623066313,Second wave
BG,Parks,2.4268980606364106,Second wave
BG,Residential,2.7187328400191673,Second wave
BG,Retail and recreation,-24.81778527116871,Second wave
BG,Transit stations,-19.199810538004655,Second wave
BG,Workplaces,-22.259303175038234,Second wave
CH,Grocery and pharmacy,-1.0395391414141415,Second wave
CH,Parks,17.09925286078454,Second wave
CH,Residential,8.516998172534317,Second wave
CH,Retail and recreation,-29.25009809729798,Second wave
CH,Transit stations,-23.84405255878285,Second wave
CH,Workplaces,-20.738743761138323,Second wave
CZ,Grocery and pharmacy,3.17928808950727,Second wave
CZ,Parks,15.557110373265385,Second wave
CZ,Residential,9.234919917580319,Second wave
CZ,Retail and recreation,-34.25517642799898,Second wave
CZ,Transit stations,-16.451816847875403,Second wave
CZ,Workplaces,-20.334485009509187,Second wave
DE,Grocery and pharmacy,-3.3169087136929463,Second wave
DE,Parks,34.602472941995764,Second wave
DE,Residential,8.550570539419088,Second wave
DE,Retail and recreation,-33.88252074688797,Second wave
DE,Transit stations,-30.3597510373444,Second wave
DE,Workplaces,-22.37344398340249,Second wave
DK,Grocery and pharmacy,-5.363410919005541,Second wave
DK,Parks,24.068284898603785,Second wave
DK,Residential,7.546937237372465,Second wave
DK,Retail and recreation,-9.979977128110113,Second wave
DK,Transit stations,-29.361629930042962,Second wave
DK,Workplaces,-24.28663352709207,Second wave
EE,Grocery and pharmacy,5.072001580715273,Second wave
EE,Parks,7.823275862068965,Second wave
EE,Residential,5.263228610946453,Second wave
EE,Retail and recreation,-15.050661924520846,Second wave
EE,Transit stations,-15.856727919383522,Second wave
EE,Workplaces,-18.518869788579334,Second wave
ES,Grocery and pharmacy,0.6736629100704469,Second wave
ES,Parks,-1.8010507453852271,Second wave
ES,Residential,7.300781626942005,Second wave
ES,Retail and recreation,-33.105937791501816,Second wave
ES,Transit stations,-24.554227624373897,Second wave
ES,Workplaces,-19.12955661855594,Second wave
FI,Grocery and pharmacy,0.6867011308358753,Second wave
FI,Parks,30.984946616941198,Second wave
FI,Residential,6.243008701762099,Second wave
FI,Retail and recreation,-12.476560697065421,Second wave
FI,Transit stations,-36.525957681604446,Second wave
FI,Workplaces,-15.254853411757882,Second wave
FR,Grocery and pharmacy,-0.19960241278468732,Second wave
FR,Parks,13.165786637738002,Second wave
FR,Residential,7.959917220231779,Second wave
FR,Retail and recreation,-30.633830801669053,Second wave
FR,Transit stations,-19.22992667654616,Second wave
FR,Workplaces,-23.74889143853654,Second wave
GB,Grocery and pharmacy,-9.268239055348978,Second wave
GB,Parks,22.893568906895357,Second wave
GB,Residential,13.431534917504615,Second wave
GB,Retail and recreation,-39.222515851488744,Second wave
GB,Transit stations,-42.27869896505729,Second wave
GB,Workplaces,-35.736178872106116,Second wave
GR,Grocery and pharmacy,9.636988737403676,Second wave
GR,Parks,27.80023710729105,Second wave
GR,Residential,6.7053941908713695,Second wave
GR,Retail and recreation,-36.277316735822964,Second wave
GR,Transit stations,-31.91464137522229,Second wave
GR,Workplaces,-25.981624184943687,Second wave
HR,Grocery and pharmacy,4.27055120531814,Second wave
HR,Parks,28.398096264367815,Second wave
HR,Residential,3.5040591387937967,Second wave
HR,Retail and recreation,-22.819612828752376,Second wave
HR,Transit stations,-22.411706970153457,Second wave
HR,Workplaces,-21.06219867615096,Second wave
HU,Grocery and pharmacy,2.0595895623630938,Second wave
HU,Parks,29.236253712184272,Second wave
HU,Residential,6.8940258668802015,Second wave
HU,Retail and recreation,-16.335804760864818,Second wave
HU,Transit stations,-12.820539419087137,Second wave
HU,Workplaces,-20.05391885661595,Second wave
IE,Grocery and pharmacy,0.7090328758378552,Second wave
IE,Parks,1.7377620954525754,Second wave
IE,Residential,11.097560758743331,Second wave
