Resultados provinciales,,,,,,,,,,
Población en viviendas familiares (incluye parados),,,,,,,,,,
,,,,,,,,,,
"Población de 16 y más años por relación con la actividad económica,sexo y provincia",,,,,,,,,,
Unidades: Miles Personas,,,,,,,,,,
,,,,,,,,,,
 ,Ocupados,,,,,,,,,
 ,2020T4,2020T3,2020T2,2020T1,2019T4,2019T3,2019T2,2019T1,,
Ambos sexos,,,,,,,,,,
    Total Nacional,"19,344.3","19,176.9","18,607.2","19,681.3",,"19,202.4",,,,
    02 Albacete,158.6,152.0,144.2,146.2,,150.3,,,,
    03 Alicante/Alacant,730.3,733.9,701.6,760.8,,731.7,,,,
    04 Almería,275.4,257.1,252.7,284.5,,267.4,,,,
    01 Araba/Álava,135.8,138.3,136.7,142.8,,138.4,,,,
    33 Asturias,384.7,380.8,371.3,387.6,,381.1,,,,
    05 Ávila,62.9,63.3,60.5,63.2,,62.5,,,,
    06 Badajoz,241.8,242.9,230.2,235.2,,237.5,,,,
"    07 Balears, Illes",523.8,573.9,512.2,503.0,,528.2,,,,
    08 Barcelona,"2,472.3","2,442.6","2,387.2","2,557.0",,"2,464.8",,,,
    48 Bizkaia,466.0,471.4,460.8,477.5,,468.9,,,,
    09 Burgos,154.4,151.4,141.7,155.0,,150.6,,,,
    10 Cáceres,144.6,144.5,141.2,140.7,,142.8,,,,
    11 Cádiz,430.6,444.0,413.6,417.8,,426.5,,,,
    39 Cantabria,237.3,240.9,220.2,239.2,,234.4,,,,
    12 Castellón/Castelló,239.7,239.6,232.8,241.4,,238.4,,,,
    13 Ciudad Real,185.5,185.5,177.1,184.4,,183.1,,,,
    14 Córdoba,288.5,274.1,266.3,281.5,,277.6,,,,
"    15 Coruña, A",454.8,456.6,450.8,464.1,,456.6,,,,
    16 Cuenca,80.9,76.5,74.7,77.6,,77.4,,,,
    20 Gipuzkoa,318.3,310.9,302.1,309.7,,310.3,,,,
    17 Girona,335.5,345.3,324.8,348.2,,338.5,,,,
    18 Granada,322.5,308.7,298.8,336.5,,316.6,,,,
    19 Guadalajara,116.2,113.5,108.5,117.9,,114.0,,,,
    21 Huelva,174.7,181.1,199.0,194.6,,187.4,,,,
    22 Huesca,93.0,94.0,94.9,98.2,,95.0,,,,
    23 Jaén,219.7,204.2,187.7,216.2,,207.0,,,,
    24 León,168.7,170.5,160.0,170.8,,167.5,,,,
    25 Lleida,201.6,197.1,190.3,204.7,,198.4,,,,
    27 Lugo,137.3,136.3,129.5,134.9,,134.5,,,,
    28 Madrid,"3,067.5","3,005.3","2,962.6","3,147.0",,"3,045.6",,,,
    29 Málaga,652.6,619.8,602.0,639.5,,628.5,,,,
    30 Murcia,614.1,618.6,590.1,604.8,,606.9,,,,
    31 Navarra,278.4,279.4,271.5,284.3,,278.4,,,,
    32 Ourense,114.2,115.7,109.4,112.0,,112.8,,,,
    34 Palencia,66.0,62.8,62.8,62.5,,63.5,,,,
"    35 Palmas, Las",417.9,417.3,436.9,488.9,,440.3,,,,
    36 Pontevedra,374.7,374.0,360.8,372.0,,370.4,,,,
