"Unemployment in per cent of the labour force (provisional) by sex, age, region and time",,,,,,,,,,,,,,,,
Units: Per cent,,,,,,,,,,,,,,,,
,,,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,,
Total,16-24 years,Region Hovedstaden,1.3,1.5,1.4,1.3,1.1,1.3,1.5,1.5,1.3,1.3,1.2,1.2,,1.33
,,Province Byen København,1.2,1.3,1.3,1.2,1,1.2,1.6,1.5,1.2,1.2,1.1,1,,1.23
,,Copenhagen,1.2,1.3,1.3,1.2,1,1.2,1.6,1.6,1.3,1.2,1.2,1,,1.26
,,Frederiksberg,1.2,1.2,1.1,1,0.9,1.2,1.6,1.5,1.2,1,0.9,1,,1.15
,,Dragør,0.8,1.2,1.4,1,0.9,1,0.8,0.8,0.6,0.8,0.8,0.9,,0.92
,,Tårnby,1.9,1.9,1.9,1.8,1.7,1.6,1.7,1.1,1.1,1.4,1.3,1.3,,1.56
,,Province Københavns omegn,1.5,1.6,1.6,1.4,1.3,1.4,1.6,1.6,1.4,1.4,1.4,1.3,,1.46
,,Albertslund,1.6,1.4,1.3,1.5,1.5,1.6,2.1,1.9,1.6,1.4,1.6,1.9,,1.62
,,Ballerup,1.4,2,2,1.7,1.7,1.8,1.6,1.8,1.8,1.6,1.8,1.6,,1.73
,,Brøndby,1.7,2.1,2.4,2,1.8,1.8,2.1,2.1,2,1.9,1.6,1.8,,1.94
,,Gentofte,1,0.9,1.1,1.1,0.9,1,1.3,0.8,0.7,0.7,0.6,0.5,,0.88
,,Gladsaxe,1.1,1.3,1.2,1,0.9,1,1.1,1,1,1,0.7,0.7,,1.00
,,Glostrup,2,1.7,1.5,1.2,1.4,1.5,1.5,1.7,1.7,1.8,2,1.9,,1.66
,,Herlev,1.7,1.5,1.7,1.7,1.3,1.5,1.4,1.3,1,0.9,1,1.1,,1.34
,,Hvidovre,1.7,1.7,1.5,1.3,1.2,1.4,1.8,1.8,1.5,1.6,1.4,1.4,,1.53
,,Høje-Taastrup,2.1,2.3,2.1,1.9,1.9,1.9,2,2.1,2.1,2,2,1.9,,2.03
,,Ishøj,2.3,2.2,2.1,1.7,1.6,2.4,2.2,2.2,2,2.3,2.5,2.6,,2.18
,,Lyngby-Taarbæk,0.8,1,0.9,0.8,0.8,0.9,0.9,1.1,0.9,0.9,0.9,0.9,,0.90
,,Rødovre,1.9,1.9,1.7,1.6,1.6,1.6,1.8,2.1,1.6,1.7,1.6,1.4,,1.71
,,Vallensbæk,1.4,1.8,1.6,1.2,1.2,1.2,1.1,1.3,1.4,1.4,1.6,1.6,,1.40
,,Province Nordsjælland,1.4,1.5,1.5,1.3,1.2,1.3,1.3,1.3,1.2,1.2,1.1,1.1,,1.28
,,Allerød,1,1.1,1.2,1.2,1,0.7,0.8,0.9,0.8,0.8,0.7,0.7,,0.91
,,Egedal,1.5,1.3,1.4,1.6,1.6,1.5,1.4,1.4,1.3,1.5,1.3,1.2,,1.42
,,Fredensborg,1.2,1.5,1.5,1.1,1.1,1.3,1.7,1.6,1.3,1.2,0.9,0.8,,1.27
,,Frederikssund,1.5,1.7,1.8,1.5,1.5,1.7,1.5,1.3,1.2,1.2,1.4,1.5,,1.48
,,Furesø,0.9,1,0.8,0.9,0.8,1,0.9,0.8,0.7,0.9,1,1,,0.89
,,Gribskov,1.5,1.2,1.3,1.1,1.3,1.3,1,1.1,1.3,1,1.1,1.3,,1.21
,,Halsnæs,2.9,2.8,2.5,2,1.8,1.8,1.9,1.9,2.1,2,1.9,2.1,,2.14
,,Helsingør,2.1,2.1,2.1,1.9,1.6,1.7,1.9,1.6,1.3,1.4,1.4,1.4,,1.71
,,Hillerød,1.4,1.6,1.4,1.1,1,1.1,1.4,1.5,1.2,1.2,1.1,1.1,,1.26
,,Hørsholm,0.8,1.1,1.1,0.9,0.6,0.7,0.6,0.8,0.7,0.8,0.7,0.8,,0.80
,,Rudersdal,0.8,1,1,0.8,0.6,0.9,0.8,0.8,0.9,0.9,0.9,0.7,,0.84
,,Province Bornholm,2.9,3.2,2.7,1.9,1.4,1.3,1.4,1.4,1.6,2.1,2.2,2.1,,2.02
,,Bornholm,2.9,3.2,2.7,1.9,1.4,1.3,1.4,1.4,1.6,2.1,2.2,2.1,,2.02
,,Region Sjælland,2.3,2.3,2.2,2,1.9,1.9,2,1.9,1.8,1.8,1.8,1.8,,1.98
,,Province Østsjælland,1.7,1.8,1.8,1.6,1.5,1.6,1.8,1.6,1.4,1.6,1.5,1.4,,1.61
,,Greve,1.2,1.1,1.1,1.4,1.4,1.6,1.8,1.6,1.5,1.4,1.4,1.5,,1.42
,,Køge,2.5,2.3,2.2,1.7,1.4,1.5,1.8,1.5,1.4,1.6,1.5,1.3,,1.73
,,Lejre,1.3,1.6,1.5,1.2,1,1.1,1,1.4,1.4,1.3,1.1,1.4,,1.28
,,Roskilde,1.6,2,2,1.8,1.6,1.7,2,1.9,1.6,1.7,1.6,1.3,,1.73
,,Solrød,1.7,1.6,1.4,1.3,1.4,1.5,1.7,1.5,1.1,1.2,1.7,1.6,,1.48
,,Province Vest- og Sydsjælland,2.6,2.6,2.5,2.2,2.1,2.1,2.2,2,2,2,2,2,,2.19
,,Faxe,2.2,1.9,1.7,1.6,1.6,1.6,1.5,1.9,1.7,1.9,1.8,1.5,,1.74
,,Guldborgsund,3.4,3.1,3.2,2.8,2.5,2.6,2.7,2.4,2.8,2.7,2.5,2.4,,2.76
,,Holbæk,1.5,1.8,1.7,1.4,1.4,1.3,1.3,1.2,1.1,1.3,1.5,1.6,,1.43
,,Kalundborg,3,2.9,2.4,2.6,2.2,2,2.1,1.7,2.1,2.1,2.2,2.1,,2.28
,,Lolland,2.7,3.1,3.3,2.7,2.5,2.8,3.2,2.5,2.9,3.1,3,3,,2.90
,,Næstved,2.1,2.2,2,1.9,1.6,1.8,1.8,1.7,1.6,1.7,1.6,1.9,,1.83
,,Odsherred,4,3.7,3.2,3.2,3.2,3.2,2.6,2.6,2.4,2.1,2.3,2.3,,2.90
,,Ringsted,2.5,2.6,2.6,2.1,2.1,1.6,1.7,1.8,1.4,1.2,1.4,1.3,,1.86
,,Slagelse,2.5,2.4,2.4,2.4,2.1,2.3,2.6,2.3,2.1,2.3,2.1,2.2,,2.31
,,Sorø,3.6,3.7,3.6,3.1,3.5,3.4,3.1,2.6,2.7,2.3,2.5,2.5,,3.05
,,Stevns,3.4,3.1,3.1,2.5,2.1,2,1.9,2,2.2,1.9,2.2,1.9,,2.36
,,Vordingborg,2.5,2.5,2.4,1.9,2,1.9,2.2,2.1,1.8,1.6,1.7,1.5,,2.01
,,Region Syddanmark,2.2,2.3,2.1,1.9,1.8,2,2.2,2.1,1.9,1.9,1.9,1.8,,2.01
,,Province Fyn,2.5,2.6,2.4,2.1,2,2.2,2.6,2.5,2.1,2.1,2,2,,2.26
,,Assens,2.9,2.8,2.6,2,1.9,2,2.3,2.1,2.1,2.4,2.5,2.3,,2.33
,,Faaborg-Midtfyn,3.1,3.1,2.8,2.7,2.5,2.4,1.9,2,1.6,1.8,2,2.3,,2.35
,,Kerteminde,2.1,2.2,2.2,2.3,2.2,1.6,1.2,1.3,1.6,1.7,1.9,2.1,,1.87
,,Langeland,3,2.7,3.3,2.4,1.7,2.5,1.8,2.1,2.7,4.1,5.1,3.9,,2.94
,,Middelfart,1.5,1.7,1.5,1.4,1.3,1.4,1.7,1.7,1.8,1.7,1.3,1.4,,1.53
,,Nordfyns,2.1,2.4,2.5,1.9,1.5,1.8,1.7,1.7,1.8,1.8,1.9,2.2,,1.94
,,Nyborg,3,3,2.7,2.9,2.7,2.5,2.1,2.5,2.7,2.9,2.9,3.3,,2.77
,,Odense,2.5,2.6,2.4,2.1,1.9,2.4,3.1,2.9,2.3,2.1,1.9,1.8,,2.33
,,Svendborg,2.2,2.1,2.1,2,2.2,2,2,1.7,1.8,1.6,1.5,1.6,,1.90
,,Ærø,3.5,3.2,2.9,2.8,2.8,3.3,2.8,2.2,2.4,2.4,3.2,2.4,,2.83
,,Province Sydjylland,2,2.1,2,1.8,1.6,1.8,1.9,1.9,1.7,1.8,1.8,1.8,,1.85
,,Billund,1.8,1.6,1.4,1.2,0.9,1.1,1.1,1,1.3,1.7,1.8,1.5,,1.37
,,Esbjerg,2.4,2.4,2.2,1.9,1.7,2,2.5,2.3,1.9,2.1,2.1,2,,2.13
,,Fanø,1.8,0.7,1.3,0.7,0.3,0,0.7,1.7,1.2,0.7,0.7,1.4,,0.93
,,Fredericia,1.5,1.6,1.7,1.6,1.4,1.6,1.8,1.8,1.7,1.7,1.8,1.9,,1.68
,,Haderslev,2.7,3.2,2.7,2.2,2.3,2,2.2,1.9,1.6,1.6,1.6,1.7,,2.14
,,Kolding,2,2.2,2.2,2.2,2,2.1,2.1,2.2,1.9,2,1.9,2,,2.07
,,Sønderborg,2.1,2.1,1.8,1.7,1.6,1.8,2.1,1.8,1.6,1.8,1.8,1.6,,1.82
,,Tønder,2.7,2.4,2.3,2.2,2.1,2.1,2.1,2.1,2.1,1.7,1.9,1.9,,2.13
,,Varde,2.1,2.3,1.8,1.4,1.4,1.5,1.6,1.9,1.6,1.8,1.7,1.7,,1.73
,,Vejen,1.4,1.7,1.5,1.3,1.2,1.3,1.4,1.5,1.6,1.6,1.6,1.7,,1.48
,,Vejle,1.6,1.6,1.6,1.6,1.4,1.5,1.6,1.3,1.3,1.3,1.4,1.3,,1.46
