2.2 Jugendarbeitslosenquoten,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kanton,Monat,Jan-19,Feb-19,März 2019,Apr-19,Mai 2019,Juni 2019,Juli 2019,Aug-19,Sep-19,Oktober 2019,Nov-19,Dezember 2019,,,
,Metriken,Jugendarbeitslosenquote,Jugendarbeitslosenquote,Jugendarbeitslosenquote,Jugendarbeitslosenquote,Jugendarbeitslosenquote,Jugendarbeitslosenquote,Jugendarbeitslosenquote,Jugendarbeitslosenquote,Jugendarbeitslosenquote,Jugendarbeitslosenquote,Jugendarbeitslosenquote,Jugendarbeitslosenquote,,,
Zürich,,2.5,2.3,2.1,1.9,1.7,1.7,2.2,2.4,2.4,2.1,2.1,2.1,,,2.13
Bern,,2.1,2,1.9,1.7,1.6,1.6,1.8,2.1,2,1.9,1.9,2.1,,,1.89
Luzern,,1.9,1.8,1.6,1.5,1.4,1.4,1.4,1.8,1.8,1.7,1.7,1.7,,,1.64
Uri,,1.5,1.6,1.4,1.3,1.1,1.1,1.2,1.3,1,1.1,1.2,1.2,,,1.25
Schwyz,,1.3,1.1,0.8,0.8,0.6,0.6,0.7,1,0.9,0.8,0.9,0.9,,,0.87
Obwalden,,0.5,0.6,0.5,0.4,0.5,0.4,0.4,0.8,0.6,0.6,0.7,0.7,,,0.56
Nidwalden,,0.8,0.7,0.7,0.5,0.4,0.5,0.6,0.6,0.7,0.6,0.5,0.8,,,0.62
Glarus,,1,1,1,0.7,0.8,0.6,0.6,0.8,0.9,0.9,0.7,0.9,,,0.83
Zug,,2.2,2,1.7,1.6,1.4,1.4,1.8,2.3,2,1.8,1.9,2.1,,,1.85
Freiburg,,2.7,2.4,2.2,2.1,1.7,1.7,1.8,2.6,2.4,2.4,2.3,2.4,,,2.23
Solothurn,,2.3,2.3,2.1,1.8,1.6,1.7,1.9,2.5,2.3,2.2,2.3,2.3,,,2.11
Basel-Stadt,,3.5,3.3,3.3,3,2.9,3,3.3,3.5,3.1,3.1,3.3,3.6,,,3.24
Basel-Landschaft,,2.1,2.1,1.9,1.9,1.8,1.8,1.7,2,1.8,1.8,1.7,1.7,,,1.86
Schaffhausen,,4.4,4,3.2,3,2.7,3.1,3.5,4.1,3.6,3.3,3.5,3.6,,,3.50
Appenzell Ausserrhoden,,1.7,1.6,1.4,1.3,1.3,1.4,1.5,2,1.7,1.8,1.8,1.5,,,1.58
Appenzell Innerrhoden,,0.7,0.7,0.7,0.6,0.5,0.5,0.4,0.8,0.8,0.8,1,1.3,,,0.73
St. Gallen,,1.9,1.9,1.7,1.6,1.5,1.3,1.5,1.9,1.8,1.8,1.6,1.8,,,1.69
