2020-01-26,2020-02-02,2020-02-08,2020-02-16,2020-02-23,2020-03-05,2020-03-15,2020-03-22,2020-03-29,2020-04-10,2020-04-19,2020-04-26,2020-05-01,2020-05-04,2020-05-07,2020-05-17,2020-05-24,2020-05-31,2020-06-09,2020-06-12,2020-06-14,2020-06-21,2020-06-28,2020-07-06,2020-07-19,2020-07-26,2020-08-03,2020-08-11,2020-08-16,2020-08-23,2020-08-30,2020-09-02,2020-09-08,2020-09-13,2020-09-20,2020-09-27,2020-10-05,2020-10-18,2020-10-25,2020-11-10,2020-11-15,2020-11-22,2020-11-29,2020-12-01,2020-12-04,2020-12-07,2020-12-13,2020-12-20,2020-12-27,2021-01-08,2021-01-17,2021-01-24,2021-01-31,2021-02-05,2021-02-14,2021-02-21,2021-02-28,2021-03-01,2021-03-10,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-07,2021-04-18,2021-04-25,2021-05-09,2021-05-12,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-02,2021-07-03,2021-07-11,2021-07-18,2021-07-25,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-19,2021-09-26,2021-10-01,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-04,2021-11-07,2021-11-14,2021-11-21,2021-11-28,x,y
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,1,0,1,0,2,2,1,2,1,0,0,1,1,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,16.48059053,47.51536932
0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,4,1,5,6,6,0,1,0,10,6,7,0,2,0,1,2,2,0,1,4,1,1,3,2,7,0,1,2,0,0,2,1,0,0,1,0,0,3,2,1,0,0,0,0,0,2,0,1,1,1,0,0,1,1,3,0,1,1,3,16.75657583,47.85733287
0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,10,19,9,0,1,0,8,3,2,0,4,9,8,2,1,7,1,3,0,7,10,4,4,0,10,2,1,0,4,2,0,1,1,1,0,2,3,1,0,0,0,0,0,0,1,0,0,5,1,1,0,0,7,0,2,1,0,16.25657733,47.17706821
0,0,0,0,0,0,0,1,6,1,6,0,0,4,0,0,0,0,0,27,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,3,2,12,13,25,0,5,0,27,20,12,0,11,8,7,8,2,1,1,12,0,3,4,2,4,0,9,2,0,0,0,2,4,0,1,0,1,3,1,4,0,0,0,0,1,2,1,2,0,15,1,1,3,3,5,0,5,8,2,15.00077794,48.05179882
0,0,0,0,0,0,0,1,2,1,2,3,0,1,1,0,0,0,0,12,0,0,2,0,0,0,0,21,0,0,0,0,0,1,0,1,1,4,1,1,14,14,18,0,5,1,11,10,7,0,23,14,8,4,4,3,8,12,0,11,14,6,15,0,6,6,2,0,2,3,1,2,2,0,0,8,7,6,0,0,0,0,0,0,7,2,4,14,0,5,2,5,14,0,6,11,3,15.8991474,47.79678913
0,0,0,0,0,0,0,2,4,1,0,2,0,2,0,1,0,0,0,16,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,4,10,10,15,0,2,0,24,7,6,0,1,5,2,1,3,3,4,4,2,8,6,3,12,1,4,3,0,0,2,1,2,2,0,0,0,2,3,6,0,0,0,0,0,1,3,2,1,5,0,1,3,3,2,1,2,13,0,15.6454067,48.16130877
0,0,1,0,0,1,0,2,1,0,4,0,0,3,0,1,1,0,0,20,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,2,3,1,9,15,14,0,7,0,9,10,4,0,3,2,6,2,4,3,7,4,3,3,4,4,6,0,1,6,0,0,0,0,1,1,0,0,0,4,4,1,0,0,0,0,0,0,4,0,1,3,1,2,1,2,5,0,0,3,1,15.31707794,48.63980476
0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,2,4,9,10,0,2,0,2,3,2,1,2,2,2,0,2,8,7,0,1,2,2,2,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16.3586002,48.63048047
0,0,1,0,0,0,0,1,3,0,2,1,0,1,0,1,0,0,0,4,0,1,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,1,4,0,11,12,8,0,4,0,8,7,3,0,18,10,12,2,9,6,4,9,0,5,3,3,5,0,1,0,1,0,1,1,1,1,2,1,0,10,8,2,0,0,0,1,0,0,2,2,0,8,1,1,1,1,7,0,4,1,0,16.3644303,48.34343176
0,0,0,0,0,0,0,0,2,3,4,2,0,2,0,1,0,0,1,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,3,5,18,12,14,0,5,0,15,25,19,0,14,9,10,4,6,5,9,16,2,9,2,9,9,2,9,5,2,0,1,3,5,0,1,0,1,7,6,7,2,0,3,0,0,1,2,0,1,30,1,0,6,2,10,0,5,10,8,16.43724688,48.04526485
