,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,X,Y
0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,2.67,0.8,1.07,0.8,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.27,0.0,0.0,0.0,0.53,0.27,0.27,0.8,0.27,0.53,0.8,1.87,2.67,4.81,6.42,7.49,21.4,37.18,75.97,54.3,47.35,32.1,20.86,13.91,10.97,5.62,16.05,13.37,8.83,11.77,5.62,6.95,6.15,9.36,9.09,17.92,23.81,21.13,28.09,21.67,16.05,8.83,7.76,5.35,3.74,1.6,1.34,0.8,1.6,1.34,1.6,0.27,0.53,0.53,0.0,0.27,1.07,1.6,4.01,4.55,10.43,17.65,12.04,10.7,5.08,2.67,7.22,6.15,14.98,23.27,54.57,79.45,74.9,72.49,4808742.020752768,2732673.737833011
1,0.0,0.0,0.0,0.0,0.0,0.0,1.34,2.67,0.8,1.07,0.8,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.27,0.0,0.0,0.0,0.53,0.27,0.27,0.8,0.27,0.53,0.8,1.87,2.67,4.81,6.42,7.49,21.4,37.18,75.97,54.3,47.35,32.1,20.86,13.91,10.97,5.62,16.05,13.37,8.83,11.77,5.62,6.95,6.15,9.36,9.09,17.92,23.81,21.13,28.09,21.67,16.05,8.83,7.76,5.35,3.74,1.6,1.34,0.8,1.6,1.34,1.6,0.27,0.53,0.53,0.0,0.27,1.07,1.6,4.01,4.55,10.43,17.65,12.04,10.7,5.08,2.67,7.22,6.15,14.98,23.27,54.57,79.45,74.9,72.49,4808742.020752768,2732673.737833011
2,0.0,0.0,0.0,0.0,0.25,0.31,1.69,3.19,1.69,0.62,0.56,0.31,0.19,0.12,0.19,0.12,0.0,0.0,0.0,0.19,0.19,0.31,0.19,0.94,1.0,0.81,0.37,0.37,0.87,1.81,2.5,2.31,3.25,3.44,4.56,6.68,8.5,13.81,31.99,36.11,37.36,32.49,25.18,20.99,13.43,9.68,12.37,15.56,13.87,10.62,9.25,7.06,8.37,9.56,13.87,18.06,19.55,25.68,23.18,25.61,19.24,15.99,10.5,12.37,7.31,4.81,4.19,3.25,2.06,1.19,0.69,0.62,0.81,1.25,1.06,0.81,0.81,1.94,1.5,4.5,6.19,7.18,9.18,10.56,11.68,7.81,9.75,10.0,10.31,16.68,28.55,48.23,57.35,78.47,58.91,4826053.1862051,2772407.64629007
3,0.0,0.0,0.0,0.0,0.25,0.31,1.69,3.19,1.69,0.62,0.56,0.31,0.19,0.12,0.19,0.12,0.0,0.0,0.0,0.19,0.19,0.31,0.19,0.94,1.0,0.81,0.37,0.37,0.87,1.81,2.5,2.31,3.25,3.44,4.56,6.68,8.5,13.81,31.99,36.11,37.36,32.49,25.18,20.99,13.43,9.68,12.37,15.56,13.87,10.62,9.25,7.06,8.37,9.56,13.87,18.06,19.55,25.68,23.18,25.61,19.24,15.99,10.5,12.37,7.31,4.81,4.19,3.25,2.06,1.19,0.69,0.62,0.81,1.25,1.06,0.81,0.81,1.94,1.5,4.5,6.19,7.18,9.18,10.56,11.68,7.81,9.75,10.0,10.31,16.68,28.55,48.23,57.35,78.47,58.91,4826053.1862051,2772407.64629007
4,0.0,0.0,0.0,0.0,0.0,0.31,2.17,5.36,2.78,2.47,2.06,0.93,0.62,0.0,0.1,0.1,0.21,0.0,0.0,0.0,0.31,0.52,0.52,0.21,0.0,0.41,0.1,0.41,1.03,0.62,0.62,1.55,1.96,4.74,4.12,6.19,8.25,13.82,44.23,59.29,57.12,38.36,22.27,22.48,15.88,17.01,10.93,12.06,14.23,13.3,11.96,13.82,12.79,15.26,16.6,21.03,26.5,24.44,28.04,35.57,26.91,22.99,16.81,10.62,11.34,6.29,2.17,2.68,2.89,0.52,1.65,1.86,1.86,0.52,0.52,1.13,2.37,2.78,1.96,2.68,4.43,4.33,7.42,7.22,6.91,4.02,7.73,10.21,9.07,15.67,22.27,57.64,60.42,71.45,60.94,4795006.325462959,2693714.8926858874
5,0.0,0.0,0.0,0.0,0.0,0.31,2.17,5.36,2.78,2.47,2.06,0.93,0.62,0.0,0.1,0.1,0.21,0.0,0.0,0.0,0.31,0.52,0.52,0.21,0.0,0.41,0.1,0.41,1.03,0.62,0.62,1.55,1.96,4.74,4.12,6.19,8.25,13.82,44.23,59.29,57.12,38.36,22.27,22.48,15.88,17.01,10.93,12.06,14.23,13.3,11.96,13.82,12.79,15.26,16.6,21.03,26.5,24.44,28.04,35.57,26.91,22.99,16.81,10.62,11.34,6.29,2.17,2.68,2.89,0.52,1.65,1.86,1.86,0.52,0.52,1.13,2.37,2.78,1.96,2.68,4.43,4.33,7.42,7.22,6.91,4.02,7.73,10.21,9.07,15.67,22.27,57.64,60.42,71.45,60.94,4795006.325462959,2693714.8926858874
6,0.0,0.0,0.0,0.0,0.0,1.25,3.52,9.74,4.85,3.15,0.93,0.36,0.12,0.08,0.04,0.08,0.04,0.04,0.04,0.0,0.04,0.12,0.36,0.2,0.77,0.65,0.16,0.32,0.44,0.4,0.2,1.09,2.83,4.2,3.52,3.6,6.71,15.48,32.22,54.78,68.93,68.57,51.63,39.82,32.95,26.44,24.86,25.39,20.82,15.52,12.65,10.96,8.93,9.46,12.13,13.1,10.63,14.23,24.46,36.35,43.87,26.12,21.91,17.14,13.5,8.13,4.69,3.92,4.57,2.55,2.14,0.77,0.28,0.49,0.4,1.21,1.58,2.79,3.52,5.42,5.13,5.5,10.43,20.54,18.64,17.75,18.35,26.12,44.67,62.67,92.87,112.27,146.64,156.74,105.32,4693652.2211308805,2783511.866947282
7,0.0,0.0,0.0,0.0,0.0,1.25,3.52,9.74,4.85,3.15,0.93,0.36,0.12,0.08,0.04,0.08,0.04,0.04,0.04,0.0,0.04,0.12,0.36,0.2,0.77,0.65,0.16,0.32,0.44,0.4,0.2,1.09,2.83,4.2,3.52,3.6,6.71,15.48,32.22,54.78,68.93,68.57,51.63,39.82,32.95,26.44,24.86,25.39,20.82,15.52,12.65,10.96,8.93,9.46,12.13,13.1,10.63,14.23,24.46,36.35,43.87,26.12,21.91,17.14,13.5,8.13,4.69,3.92,4.57,2.55,2.14,0.77,0.28,0.49,0.4,1.21,1.58,2.79,3.52,5.42,5.13,5.5,10.43,20.54,18.64,17.75,18.35,26.12,44.67,62.67,92.87,112.27,146.64,156.74,105.32,4693652.2211308805,2783511.866947282
8,0.0,0.0,0.0,0.0,0.0,0.19,2.95,4.33,2.57,2.11,0.73,0.19,0.38,0.73,0.38,0.34,0.0,0.08,0.19,0.42,0.61,0.38,0.31,1.34,0.77,0.11,0.27,0.34,0.96,1.95,2.64,5.17,6.43,3.52,2.83,4.67,6.74,16.47,28.64,31.28,32.32,27.15,23.47,22.29,16.12,14.24,12.18,15.01,17.84,11.33,12.21,8.5,12.87,13.67,21.02,25.23,29.87,34.69,39.25,30.67,27.03,18.61,12.94,7.31,9.19,6.47,4.59,2.26,2.64,1.88,1.8,0.31,0.23,0.23,0.54,1.46,1.11,2.76,2.57,5.4,9.04,11.1,10.49,13.75,14.13,13.21,10.8,10.07,12.75,30.17,44.8,74.55,107.79,115.45,84.7,4762729.088155947,2760203.474822341
9,0.0,0.0,0.0,0.0,0.0,0.19,2.95,4.33,2.57,2.11,0.73,0.19,0.38,0.73,0.38,0.34,0.0,0.08,0.19,0.42,0.61,0.38,0.31,1.34,0.77,0.11,0.27,0.34,0.96,1.95,2.64,5.17,6.43,3.52,2.83,4.67,6.74,16.47,28.64,31.28,32.32,27.15,23.47,22.29,16.12,14.24,12.18,15.01,17.84,11.33,12.21,8.5,12.87,13.67,21.02,25.23,29.87,34.69,39.25,30.67,27.03,18.61,12.94,7.31,9.19,6.47,4.59,2.26,2.64,1.88,1.8,0.31,0.23,0.23,0.54,1.46,1.11,2.76,2.57,5.4,9.04,11.1,10.49,13.75,14.13,13.21,10.8,10.07,12.75,30.17,44.8,74.55,107.79,115.45,84.7,4762729.088155947,2760203.474822341
